Krank_Acisi_deg,Simscape_theta3_deg,Simscape_theta5_deg,Simscape_omega3_deg_s,Simscape_omega5_deg_s,Simscape_alpha3_deg_s2,Simscape_alpha5_deg_s2
198,-105.32690074711,-122.477668593403,92.2412695837162,9.50532627003775,503.63447705238,1753.9616964515
199,-105.068736105609,-122.444545672001,93.6357699968633,14.3260109879591,500.389698781536,1716.88447271272
200,-104.806710495257,-122.398175334407,95.021121952341,19.0433583992409,497.047289455583,1679.57485691491
201,-104.540849707365,-122.338845404094,96.397051818285,23.6568529674205,493.605514033112,1642.12519019496
202,-104.271180299888,-122.266844789942,97.7632812912903,28.1662253032096,490.062743951872,1604.62040042324
203,-103.997729609995,-122.182462830753,99.1195276912767,32.5714319439338,486.417456428789,1567.13827444065
204,-103.720525765815,-122.08598869486,100.46550425403,36.8726359236499,482.668233485124,1529.74975401795
205,-103.439597697385,-121.977710832528,101.800920420653,41.0701881910542,478.813760695696,1492.51924932886
206,-103.154975146784,-121.857916478757,103.125482123156,45.1646099160193,474.85282566224,1455.50496442733
207,-102.8666886775,-121.726891203963,104.438892065428,49.1565757112311,470.784316212003,1418.75922989291
208,-102.574769683003,-121.58491850997,105.74084999882,53.0468977828684,466.607218323867,1382.32883844512
209,-102.279250394577,-121.432279468748,107.0310529916,56.8365110134308,462.32061378538,1346.25537992507
210,-101.980163888406,-121.269252401287,108.309195691527,60.5264589706065,457.923677585047,1310.57557259435
211,-101.677544091938,-121.096112594066,109.574970580817,64.1178808282932,453.415675045367,1275.32158820748
212,-101.37142578956,-120.913132050614,110.828068222795,67.6119991794951,448.795958703054,1240.52136877202
213,-101.061844627594,-120.720579275708,112.068177499545,71.0101087155759,444.063964943706,1206.19893332312
214,-100.748837118648,-120.518719089853,113.294985839865,74.3135657422462,439.219210399261,1172.37467340533
215,-100.432440645349,-120.307812471755,114.508179436912,77.5237784994765,434.261288117191,1139.06563627815
216,-100.112693463485,-120.088116426615,115.707443454888,80.6421982501994,429.189863511284,1106.28579514457
217,-99.7896347045907,-119.859883878138,116.892462224196,83.6703111010708,424.004670104433,1074.04630594628
218,-99.4633043780044,-119.623363582304,118.062919424485,86.6096305175852,418.705505074545,1042.35575047944
219,-99.1337433724379,-119.378800061001,119.218498255071,89.4616904954178,413.29222461513,1011.22036576238
220,-98.8009934570881,-119.126433553758,120.358881592223,92.228039349881,407.764739122621,980.644259736088
221,-98.4650972823319,-118.866499985923,121.483752132853,94.9102340857904,402.123008222831,950.629613501345
222,-98.1260983800414,-118.599230951708,122.592792524187,97.5098353107444,396.367035649236,921.176870396586
223,-97.7840411635576,-118.324853710655,123.68568547901,100.028402655779,390.496863985958,892.284912300635
224,-97.4389709273663,-118.043591196162,124.762113876145,102.467490668521,384.512569288451,863.951223606558
225,-97.090933846514,-117.755662034791,125.821760845826,104.828645145263,378.414255594957,836.172043359496
226,-96.7399769758091,-117.461280575201,126.864309839694,107.113399869818,372.202049341686,808.942506084916
227,-96.3861482488498,-117.160656925602,127.889444685157,109.32327372848,365.876093694659,782.256771855641
228,-96.0294964769234,-116.853996998745,128.896849623909,111.459768171991,359.436542810856,756.108146158404
229,-95.67007134782,-116.541502563501,129.886209334419,113.524364996954,352.883556041152,730.489190125165
230,-95.3079234246073,-116.2233713022,130.857208938251,115.518524420715,346.21729208712,705.391821691844
231,-94.9431041444095,-115.899796872927,131.809533990108,117.443683425282,339.437903123434,680.807408239551
232,-94.5756658172368,-115.570968976081,132.742870451504,119.301254347386,332.545528897188,656.726851260999
233,-94.2056616249113,-115.237073424531,133.656904648039,121.092623693258,325.540290814882,633.140663579187
234,-93.8331456201336,-114.89829221677,134.551323210233,122.819151158146,318.422286027374,610.039039627039
235,-93.4581727257373,-114.554803612541,135.425812997941,124.482168831996,311.191581522452,587.411919276319
236,-93.0807987341757,-114.206782210414,136.280061008383,126.082980574003,303.848208234134,565.249045682453
237,-92.7010803072871,-113.854399026907,137.113754267837,127.622861540059,296.392155177115,543.540017589107
238,-92.3190749763831,-113.497821576702,137.926579707093,129.103057848279,288.823363614124,522.274336513302
239,-91.9348411427054,-113.13721395363,138.71822402075,130.524786368957,281.141721263332,501.441449208449
240,-91.5484380782966,-112.772736912075,139.488373510487,131.889234626341,273.347056552239,481.030785779516
241,-91.1599259273266,-112.404547948509,140.236713912449,133.197560800669,265.439132923701,461.03179380168
242,-90.7693657079226,-112.032801382896,140.962930208891,134.450893819792,257.417643199248,441.433968771446
243,-90.3768193145422,-111.657648439727,141.666706424249,135.650333530669,249.282204003997,422.22688119761
244,-89.9823495209354,-111.279237328481,142.347725405815,136.796950941767,241.032350256901,403.40020061847
245,-89.5860199837363,-110.897713323319,143.005668589202,137.891788528222,232.667529729378,384.943716811758
246,-89.1878952467282,-110.513218841858,143.640215748794,138.935860592304,224.187097674796,366.847358444492
247,-88.7880407458215,-110.125893522868,144.251044733374,139.930153672402,215.590311530631,349.101209391878
248,-88.3865228147865,-109.735874302779,144.837831187139,140.875626994349,206.876325694668,331.695522937023
249,-87.983408691782,-109.343295490876,145.400248256314,141.773212959468,198.044186375937,314.620734047028
250,-87.5787665267176,-108.9482888431,145.937966281562,142.623817664267,189.09282652079,297.867469905574
251,-87.1726653894904,-108.550983634362,146.450652476402,143.428321447153,180.021060813976,281.426558867826
252,-86.7651752791344,-108.151506729307,146.937970591852,144.18757945802,170.827580754216,265.289037989797
253,-86.3563671339198,-107.749982651466,147.399580567489,144.902422246922,161.510949803559,249.446159271828
254,-85.9463128424406,-107.346533650758,147.83513816914,145.573656368457,152.069598609422,233.889394743965
255,-85.5350852557266,-106.941279769285,148.244294613399,146.202064998809,142.501820298153,218.61044050998
256,-85.1227582004173,-106.534338905406,148.626696179169,146.788408562698,132.805765838722,203.601219856678
257,-84.7094064930312,-106.125826876054,148.981983806419,147.333425367779,122.979439475291,188.853885525471
258,-84.2951059553686,-105.715857477286,149.309792682353,147.837832244297,113.020694227228,174.360821234572
259,-83.8799334310808,-105.304542543051,149.609751815167,148.302325188019,102.927227455434,160.114642531804
260,-83.4639668034397,-104.891992002165,149.881483595578,148.72758000469,92.6965764940148,146.108197050684
261,-83.0472850143427,-104.478313933503,150.124603346321,149.114252954453,82.3261143466226,132.334564235256
262,-82.629968084586,-104.063614619398,150.338718859763,149.462981394825,71.8130454471879,118.787054592884
263,-82.2120971354372,-103.647998597257,150.523429923851,149.77438442102,61.1544014853529,105.459208528194
264,-81.7937544115423,-103.231568709405,150.678327836537,150.04906350249,50.3470372974514,92.3447948058985
265,-81.375023305196,-102.814426151167,150.80299490889,150.287603114747,39.3876268247007,79.4378086852577
266,-80.9559883820087,-102.396670517202,150.89700395708,150.490571365575,28.2726591410782,66.7324697642577
267,-80.536735407999,-101.978399846107,150.959917783423,150.658520614905,16.998434554405,54.2232195673957
268,-80.1173513781438,-101.559710663307,150.991288646705,150.79198808766,5.56106078527183,41.9047189070735
