Krank_Acisi_deg,Analitik_theta3_deg,Simscape_theta3_deg,Hata_theta3_deg,Analitik_theta5_deg,Simscape_theta5_deg,Hata_theta5_deg,Analitik_omega3_deg_s,Simscape_omega3_deg_s,Hata_omega3_deg_s,Analitik_omega5_deg_s,Simscape_omega5_deg_s,Hata_omega5_deg_s,Analitik_alpha3_deg_s2,Simscape_alpha3_deg_s2,Hata_alpha3_deg_s2,Analitik_alpha5_deg_s2,Simscape_alpha5_deg_s2,Hata_alpha5_deg_s2
58,-92.2990988485338,-92.2990987709697,7.75641240124969e-08,-67.691837904593,-67.6918379046225,-2.9544366952905e-11,-207.582120989823,-207.582121194856,-2.0503344444478e-07,-32.4992683833901,-32.4992683834184,-2.8350655156828e-11,1065.56494762475,1065.56494802019,3.95439883504878e-07,-715.909837666196,-715.909837666411,-2.14640749618411e-10
59,-92.8715780830547,-92.8715780097768,7.3277831802443e-08,-67.7848837961248,-67.7848837961631,-3.83124643121846e-11,-204.593574060425,-204.593574253761,-1.93336006759637e-07,-34.4967289970903,-34.496728997128,-3.77866626877221e-11,1085.77107461287,1085.77107506532,4.52452923127566e-07,-722.293709136413,-722.2937091367,-2.8705926524708e-10
60,-93.4356810290789,-93.4356809599845,6.90943551262535e-08,-67.883503065426,-67.883503065475,-4.89563944938709e-11,-201.552327048179,-201.552327229982,-1.8180392657996e-07,-36.5121895395137,-36.512189539563,-4.92406115881749e-11,1103.52828020863,1103.52828070508,4.96448592457455e-07,-728.870167139919,-728.870167140299,-3.79714037990198e-10
61,-93.9912705961916,-93.991270531164,6.50275495672759e-08,-67.9877464581688,-67.9877464582306,-6.18172180111287e-11,-198.465021078438,-198.465021248944,-1.70505160212997e-07,-38.5461880428855,-38.5461880429491,-6.36362074146746e-11,1118.95306236543,1118.95306289415,5.28726104676025e-07,-735.641383820717,-735.641383821211,-4.94196683575865e-10
62,-94.5382276903492,-94.5382276292604,6.10888548635558e-08,-68.0976662226395,-68.0976662227167,-7.72502062318381e-11,-195.33797189113,-195.337972050628,-1.59497744789405e-07,-40.5992682468831,-40.5992682469647,-8.15774114926171e-11,1132.16304831945,1132.16304887003,5.50581262359628e-07,-742.609292856087,-742.609292856723,-6.36532604403328e-10
63,-95.0764503068195,-95.076450249532,5.72875364923675e-08,-68.2133161246448,-68.2133161247404,-9.56106305238791e-11,-192.177167929575,-192.177168078405,-1.48829997215216e-07,-42.671978905871,-42.6719789059741,-1.03078434676718e-10,1143.27612771847,1143.27612828174,5.63263711228501e-07,-749.775567299152,-749.775567299965,-8.1251982919639e-10
64,-95.6058526210364,-95.6058525674057,5.36307425136329e-08,-68.3347514604059,-68.3347514605232,-1.17267973109847e-10,-188.988270707766,-188.988270846308,-1.38541793148761e-07,-44.764873032031,-44.7648730321604,-1.29375621327199e-10,1152.40967865297,1152.40967922097,5.67991946809343e-07,-757.141595560403,-757.14159556143,-1.02704689197708e-09
65,-96.1263640833447,-96.1263640332209,5.01238304195795e-08,-68.4620290672544,-68.4620290673972,-1.42748035614204e-10,-185.776617201493,-185.776617330158,-1.28664368048703e-07,-46.8785070690416,-46.8785070692027,-1.6112267076096e-10,1159.67988392465,1159.67988449054,5.65895334148081e-07,-764.708455399627,-764.708455400913,-1.28557076095603e-09
66,-96.6379285229114,-96.637928476141,4.67704523998691e-08,-68.5952073319308,-68.5952073321032,-1.72462932823692e-10,-182.547224017478,-182.547224136699,-1.19220914029938e-07,-49.0134399905949,-49.0134399907941,-1.99221972252417e-10,1165.20113394523,1165.20113450328,5.58044348508702e-07,-772.476885793695,-772.476885795293,-1.59775481733959e-09
67,-97.1405032654148,-97.1405032218421,4.35726548175808e-08,-68.7343461962663,-68.7343461964733,-2.07052153200493e-10,-179.304793105748,-179.304793215976,-1.10228597804962e-07,-51.170232317656,-51.1702323179003,-2.44313014263753e-10,1169.0855119267,1169.08551247213,5.45423063158523e-07,-780.447256539692,-780.447256541665,-1.9728076949832e-09
68,-97.6340582684855,-97.6340582279545,4.05310203177578e-08,-68.8795071600157,-68.8795071602627,-2.46998865804926e-10,-176.053718793348,-176.053718895045,-1.01696940646434e-07,-53.3494450479721,-53.3494450482705,-2.98406632737169e-10,1171.44235648256,1171.44235701147,5.28916643816046e-07,-788.619535447028,-788.619535449446,-2.41766429098789e-09
69,-98.1185752782795,-98.1185752406345,3.76450799421946e-08,-69.0307532805859,-69.0307532808789,-2.92942559099174e-10,-172.798095931581,-172.798096025212,-9.36307458232477e-08,-55.5516384909256,-55.5516384912873,-3.61730201348109e-10,1172.37789638742,1172.37789689676,5.09337041876279e-07,-796.993252966519,-796.993252969462,-2.94255642074859e-09
70,-98.5940470100032,-98.5940469750899,3.49132989185819e-08,-69.1881491693886,-69.1881491697343,-3.4579272778501e-10,-169.541728963905,-169.541729049935,-8.60302975524974e-08,-57.7773710003926,-57.7773710008291,-4.3648640257743e-10,1171.9949520178,1171.99495250521,4.87411398353288e-07,-805.56746409902,-805.567464102585,-3.56499185727444e-09
71,-99.0604763546987,-99.0604763223656,3.23331050822162e-08,-69.3517609845218,-69.3517609849279,-4.06060962632182e-10,-166.288141736999,-166.28814181589,-7.88906220350327e-08,-60.0271975978262,-60.0271975983502,-5.24018162195716e-10,1170.39269789902,1170.3926983628,4.6377658691199e-07,-814.34070742124,-814.340707425532,-4.29179181082873e-09
72,-99.5178756141254,-99.5178755842241,2.99013152016414e-08,-69.5216564194658,-69.5216564199406,-4.74770445180184e-10,-163.040587893006,-163.04058796521,-7.22037896139227e-08,-62.3016684773266,-62.3016684779528,-6.26194207598019e-10,1167.66648079256,1167.66648123155,4.38985807704739e-07,-823.310961061907,-823.310961067048,-5.14148723596008e-09
